# 住基Excel側の字名（data/generated/population_aza.json）と
# 令和2年国勢調査 小地域集計側の町丁・字の対応表。scripts/fetch_aza_census.py が
# 丁目の漢数字/算用数字を揃えたうえでの完全一致のみで機械的に作成する（推測はしない）。
# status: matched（対応OK）/ suppressed（秘匿処理で復元不可）/
#   possibly_out_of_scope（米軍基地関連などで国勢調査の対象区域に含まれない可能性・推定）/
#   out_of_scope（同・公式に確証済み）/ unmatched（対応する町丁字が見つからない）
# possibly_out_of_scope の判定は scripts/fetch_aza_census.py の POSSIBLY_OUT_OF_SCOPE を、
# 確証が取れた場合は CONFIRMED_OUT_OF_SCOPE を編集すること（このファイルは手で編集しない）。
municipality,aza_juki,census_name,status,reason
うるま市,みどり町一丁目,みどり町一丁目,matched,
うるま市,みどり町三丁目,みどり町三丁目,matched,
うるま市,みどり町二丁目,みどり町二丁目,matched,
うるま市,みどり町五丁目,みどり町五丁目,matched,
うるま市,みどり町六丁目,みどり町六丁目,matched,
うるま市,みどり町四丁目,みどり町四丁目,matched,
うるま市,上江洲,字上江洲,matched,
うるま市,与那城,与那城,matched,
うるま市,与那城上原,与那城上原,matched,
うるま市,与那城中央,与那城中央,matched,
うるま市,与那城伊計,与那城伊計,matched,
うるま市,与那城安勢理,与那城安勢理,matched,
うるま市,与那城宮城,与那城宮城,matched,
うるま市,与那城宮平,,unmatched,国勢調査(令和2年)の町丁・字と一致しません
うるま市,与那城屋平,,unmatched,国勢調査(令和2年)の町丁・字と一致しません
うるま市,与那城屋慶名,与那城屋慶名,matched,
うるま市,与那城平安座,与那城平安座,matched,
うるま市,与那城平宮,,unmatched,国勢調査(令和2年)の町丁・字と一致しません
うるま市,与那城桃原,与那城桃原,matched,
うるま市,与那城池味,与那城池味,matched,
うるま市,与那城照間,与那城照間,matched,
うるま市,与那城西原,与那城西原,matched,
うるま市,与那城饒辺,与那城饒辺,matched,
うるま市,仲嶺,字仲嶺,matched,
うるま市,具志川,字具志川,matched,
うるま市,兼箇段,字兼箇段,matched,
うるま市,前原,字前原,matched,
うるま市,勝連内間,勝連内間,matched,
うるま市,勝連南風原,勝連南風原,matched,
うるま市,勝連平安名,勝連平安名,matched,
うるま市,勝連平敷屋,勝連平敷屋,matched,
うるま市,勝連比嘉,勝連比嘉,matched,
うるま市,勝連津堅,勝連津堅,matched,
うるま市,勝連浜,勝連浜,matched,
うるま市,喜仲一丁目,喜仲一丁目,matched,
うるま市,喜仲三丁目,喜仲三丁目,matched,
うるま市,喜仲二丁目,喜仲二丁目,matched,
うるま市,喜仲四丁目,喜仲四丁目,matched,
うるま市,喜屋武,字喜屋武,matched,
うるま市,塩屋,字塩屋,matched,
うるま市,大田,字大田,matched,
うるま市,天願,字天願,matched,
うるま市,宇堅,字宇堅,matched,
うるま市,安慶名,字安慶名,matched,
うるま市,安慶名一丁目,安慶名一丁目,matched,
うるま市,安慶名三丁目,安慶名三丁目,matched,
うるま市,安慶名二丁目,安慶名二丁目,matched,
うるま市,宮里,字宮里,matched,
うるま市,川崎,字川崎,matched,
うるま市,川田,字川田,matched,
うるま市,州崎,字州崎,matched,
うるま市,平良川,字平良川,matched,
うるま市,昆布,字昆布,matched,
うるま市,栄野比,字栄野比,matched,
うるま市,江洲,字江洲,matched,
うるま市,田場,字田場,matched,
うるま市,石川,石川,matched,
うるま市,石川一丁目,,unmatched,国勢調査(令和2年)の町丁・字と一致しません
うるま市,石川二丁目,,unmatched,国勢調査(令和2年)の町丁・字と一致しません
うるま市,石川伊波,,unmatched,国勢調査(令和2年)の町丁・字と一致しません
うるま市,石川嘉手苅,石川嘉手苅,matched,
うるま市,石川山城,,unmatched,国勢調査(令和2年)の町丁・字と一致しません
うるま市,石川曙一丁目,石川曙一丁目,matched,
うるま市,石川曙三丁目,石川曙三丁目,matched,
うるま市,石川曙二丁目,石川曙二丁目,matched,
うるま市,石川東山一丁目,石川東山一丁目,matched,
うるま市,石川東山二丁目,石川東山二丁目,matched,
うるま市,石川東山本町一丁目,石川東山本町一丁目,matched,
うるま市,石川東山本町二丁目,石川東山本町二丁目,matched,
うるま市,石川東恩納,,unmatched,国勢調査(令和2年)の町丁・字と一致しません
うるま市,石川東恩納崎,,unmatched,国勢調査(令和2年)の町丁・字と一致しません
うるま市,石川楚南,石川楚南,matched,
うるま市,石川白浜一丁目,石川白浜一丁目,matched,
