municipality,name_from,name_to,relation,years,source,decided_on,note
# 住基Excel内の年次間名寄せの対応表（docs/aza-matching-policy.md で決定・2026-07-31）。
# 住基Excelと国勢調査小地域の字名の対応付けは対象外。Phase 4 で aza_census_crosswalk.csv を別に立てる。
#
# name_from: 県Excelに出てくる表記。name_to: 寄せ先／関係先の表記。
# relation:
#   same          同一実体の表記ゆれ。fetch_aza_population.py が合算する
#   typo          原本の誤植。同上、合算する
#   succeeded_by  区画再編の後継。合算しない。関係の記録のみ
#   split_into    分割された。合算しない。関係の記録のみ
#   merged_from   統合された。合算しない。関係の記録のみ
#   separate      似ているが別実体。統合禁止の明示（誤って寄せる実装を防ぐ）
#   （空）        未確認。合算しない
# years: 適用年（カンマ区切り）。空なら全年。
#
# 分類A（字Xの有無 400ペア）・分類B（丁目の漢数字/算用数字 71グループ）は
# fetch_aza_population.py が正規化ルールで自動的に処理するため、ここには書かない。
# 同一年に同じキーの表記が2つ来たらその年の変換を失敗させる（衝突検知）。
今帰仁村,玉字城,玉城,typo,2013,県Excel 2013年の誤植。語中に字が紛れた（宜野湾志市と同型）,2026-07-31,人口連続 818→835→826
恩納村,字安冨祖,字安富祖,typo,2014,単年のみの誤植（冨/富）,2026-07-31,人口連続 730→734→728
浦添市,字屋冨祖,字屋富祖,typo,2020,2020年シートの一括変換誤り（冨/富）。5件同時,2026-07-31,人口連続
浦添市,屋冨祖1丁目,屋富祖1丁目,typo,2020,同上,2026-07-31,
浦添市,屋冨祖2丁目,屋富祖2丁目,typo,2020,同上,2026-07-31,
浦添市,屋冨祖3丁目,屋富祖3丁目,typo,2020,同上,2026-07-31,
浦添市,屋冨祖4丁目,屋富祖4丁目,typo,2020,同上,2026-07-31,
南城市,知念字安座間,知念字安座真,typo,2011,単年のみの誤植（間/真）,2026-07-31,人口連続 583→585
南城市,知念字吉冨,知念字吉富,typo,"2011,2012",2年連続の誤植（冨/富）,2026-07-31,人口連続 118→120
石垣市,浮海,桴海,typo,"2014,2015,2016",3年連続の誤植（浮/桴）。2017年に正表記へ復帰,2026-07-31,人口連続 274→294→…→271
名護市,字中尾,字仲尾,typo,"2017,2018,2019",3年連続の誤植（中/仲）。2020年に正表記へ復帰,2026-07-31,人口連続
久米島町,嘉手刈,嘉手苅,same,"2022,2023,2024,2025",2022年以降継続中。誤植ではなく県の表記変更として扱う,2026-07-31,人口連続 397→391
宮古島市,下地字来間,下地来間,same,,2022年以降は「下地来間」表記が継続中。合併前旧町村名を冠する形式から字が脱落,2026-07-31,分類D。人口連続 167→158
那覇市,字古波蔵,古波蔵1丁目,succeeded_by,2013,那覇市住居表示（推定）。告示未確認,2026-07-31,数値は合算しない。人口ほぼ一致 2994→2983
那覇市,字楚辺,楚辺3丁目,succeeded_by,2011,同上。告示未確認,2026-07-31,数値は合算しない。人口ほぼ一致 528→554
沖縄市,字桃原,桃原4丁目,succeeded_by,2021,同上。告示未確認,2026-07-31,数値は合算しない。人口ほぼ一致 2155→2196
沖縄市,字大里,大里3丁目,succeeded_by,2021,同上。告示未確認。差+10.5%とやや大きい,2026-07-31,数値は合算しない。要確認
那覇市,字真嘉比,真嘉比1丁目／真嘉比2丁目／真嘉比3丁目,split_into,2014,1つの字が1〜3丁目に分割,2026-07-31,数値は合算しない。4006→1301+2456+1405相当
北中城村,アワセ土地区画,ライカム,,,未確認。区画再編の告示・1対1かどうか未確認,,数値は合算しない。人口はつながる 360→562
宜野湾市,字上原,上原1丁目〜2丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字伊佐,伊佐1丁目〜4丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字喜友名,喜友名1丁目〜2丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字嘉数,嘉数1丁目〜4丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字大山,大山1丁目〜7丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字大謝名,大謝名1丁目〜5丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字宇地泊,宇地泊1丁目〜3丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字宜野湾,宜野湾1丁目〜3丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字志真志,志真志1丁目〜4丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字愛知,愛知1丁目〜3丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字我如古,我如古1丁目〜4丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字新城,新城1丁目〜2丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字普天間,普天間1丁目〜2丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字真志喜,真志喜1丁目〜5丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字真栄原,真栄原1丁目〜3丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字神山,神山1丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字赤道,赤道1丁目〜2丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字野嵩,野嵩1丁目〜4丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
宜野湾市,字長田,長田1丁目〜4丁目,separate,,,2026-07-31,住居表示化の残余区域。丁目と同一年に併存。統合禁止
